sample	refinebio_accession_code	PC1	PC2	refinebio_organism	refinebio_platform	refinebio_source_database	refinebio_specimen_part	refinebio_title	channel_count	contact_address	contact_city	contact_country	contact_email	contact_institute	contact_name	contact_zip/postal_code	data_processing	data_row_count	extract_protocol_ch1	genotype/variation	geo_accession	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	tissue	title	type
1	GSM1831680	-2.006680080742239	-17.153923716260422	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_Control-zebrafish_1	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	control	GSM1831680	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_Control-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831680/suppl/GSM1831680_ZF_39_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_Control-zebrafish_1	RNA
2	GSM1831675	17.800379134631626	0.9952769508796672	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_CREB-zebrafish_1	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	overexpressing the human CREB	GSM1831675	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_CREB-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831675/suppl/GSM1831675_ZF_29_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_CREB-zebrafish_1	RNA
3	GSM1831681	2.5610220766079013	-17.82613205811003	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_Control-zebrafish_2	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	control	GSM1831681	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_Control-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831681/suppl/GSM1831681_ZF_40_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_Control-zebrafish_2	RNA
4	GSM1831683	-11.249001233726169	-8.827817886244704	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_Control-zebrafish_4	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	control	GSM1831683	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_Control-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831683/suppl/GSM1831683_ZF_42_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_Control-zebrafish_4	RNA
5	GSM1831677	13.367761151345741	10.247588705147056	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_CREB-zebrafish_3	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	overexpressing the human CREB	GSM1831677	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_CREB-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831677/suppl/GSM1831677_ZF_31_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_CREB-zebrafish_3	RNA
6	GSM1831676	16.47050878448371	2.7307966646699797	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_CREB-zebrafish_2	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	overexpressing the human CREB	GSM1831676	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_CREB-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831676/suppl/GSM1831676_ZF_30_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_CREB-zebrafish_2	RNA
7	GSM1831682	-28.975617316821733	8.660489222162251	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_Control-zebrafish_3	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	control	GSM1831682	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_Control-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831682/suppl/GSM1831682_ZF_41_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_Control-zebrafish_3	RNA
8	GSM1831679	19.55244905837844	8.652384941493747	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_CREB-zebrafish_5	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	overexpressing the human CREB	GSM1831679	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_CREB-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831679/suppl/GSM1831679_ZF_33_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_CREB-zebrafish_5	RNA
9	GSM1831678	0.15383538295193772	5.050102091926385	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_CREB-zebrafish_4	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	overexpressing the human CREB	GSM1831678	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_CREB-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831678/suppl/GSM1831678_ZF_32_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_CREB-zebrafish_4	RNA
10	GSM1831684	-27.674656957109214	7.471235084336078	DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)	GEO	kidney marrow	Kidney marrow_Control-zebrafish_5	1	Corso Stati Uniti,4	Padova	Italy	chiaraborga@gmail.com	University of Padua	Chiara,,Borga	35127	Microarray data (.CEL files) were normalized using the justRMA algorithm and analyzed using R-Bioconductor (Version 2.15.3)	15617	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	control	GSM1831684	Following fragmentation, 12.5 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	Biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 100 ng total RNA (GeneChip 3 IVT Express Kit Technical Manual, 2008, Affymetrix).	Dec 07 2016	total RNA	Danio rerio	GPL1319	GeneChips were scanned using the GeneChip Scanner 3000	GSE71270	Kidney marrow_Control-zebrafish	Public on Dec 06 2016	Jul 23 2015	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1831nnn/GSM1831684/suppl/GSM1831684_ZF_43_Zebrafish_.CEL.gz	7955	kidney marrow	Kidney marrow_Control-zebrafish_5	RNA
